date,country,lineage,count
2020-01-27,India,B,2
2020-01-31,India,B,2
2020-02-24,India,B.1.1.216,2
2020-03-01,India,B.1.1.306,2
2020-03-01,India,B.53,2
2020-03-02,India,B.1.1,8
2020-03-02,India,B.1.1.482,4
2020-03-03,India,B.1,32
2020-03-03,India,B.1.1,2
2020-03-03,India,B.1.617.1,2
2020-03-06,India,B.1.617,4
2020-03-07,India,B.1,2
2020-03-09,India,B.4,2
2020-03-10,India,B.1,2
2020-03-10,India,B.1.210,2
2020-03-10,India,B.4,24
2020-03-11,India,B.1,2
2020-03-11,India,B.1.1,2
2020-03-12,India,B.1,2
2020-03-12,India,B.4,12
2020-03-13,India,B.1,4
2020-03-13,India,B.4,2
2020-03-15,India,B.1.36,2
2020-03-15,India,B.4,4
2020-03-15,India,B.40,2
2020-03-16,India,A.1,4
2020-03-16,India,B.1,2
2020-03-16,India,B.1.1,2
2020-03-16,India,B.6,2
2020-03-17,India,B.1,6
2020-03-17,India,B.1.617.1,2
2020-03-17,India,B.4,8
2020-03-17,India,B.40,2
2020-03-18,India,B.1,6
2020-03-18,India,B.1.1,2
2020-03-18,India,B.1.36,8
2020-03-18,India,B.4,2
2020-03-19,India,B,2
2020-03-19,India,B.1,2
2020-03-19,India,B.1.1,4
2020-03-19,India,B.1.617.1,2
2020-03-19,India,B.6.6,2
2020-03-20,India,B.1.1,4
2020-03-20,India,B.1.1.174,2
2020-03-20,India,B.1.195,6
2020-03-21,India,B.1.1,4
2020-03-21,India,B.1.195,4
2020-03-21,India,B.1.210,2
2020-03-22,India,A,4
2020-03-22,India,B.1.195,2
2020-03-22,India,B.1.210,2
2020-03-23,India,B.1,6
2020-03-24,India,A,2
2020-03-24,India,B.1,2
2020-03-24,India,B.1.1.306,2
2020-03-25,India,B.1.1,2
2020-03-25,India,B.6,8
2020-03-26,India,A,14
2020-03-26,India,B.1,2
2020-03-26,India,B.1.1,2
2020-03-26,India,B.1.36,2
2020-03-27,India,B.1,2
2020-03-27,India,B.1.36.8,4
2020-03-27,India,B.1.540,2
2020-03-28,India,B.1,2
2020-03-28,India,B.1.1,2
2020-03-28,India,B.1.210,2
2020-03-28,India,B.6,14
2020-03-28,India,B.6.6,2
2020-03-29,India,B.1.210,4
2020-03-29,India,B.4,2
2020-03-29,India,B.6,36
2020-03-29,India,B.6.6,4
2020-03-30,India,A.2,2
2020-03-30,India,B.1,4
2020-03-30,India,B.1.1,2
2020-03-30,India,B.1.540,4
2020-03-30,India,B.6,14
2020-03-31,India,B.1,6
2020-03-31,India,B.1.1,4
2020-03-31,India,B.1.1.101,2
2020-03-31,India,B.1.36,2
2020-03-31,India,B.6,24
2020-03-31,India,B.6.6,18
2020-04-01,India,B.1,4
2020-04-01,India,B.6,50
2020-04-01,India,B.6.3,2
2020-04-01,India,B.6.6,6
2020-04-02,India,A,2
2020-04-02,India,B.1,8
2020-04-02,India,B.1.540,2
2020-04-02,India,B.6,28
2020-04-02,India,B.6.6,10
2020-04-03,India,A.9,6
2020-04-03,India,B,2
2020-04-03,India,B.1,2
2020-04-03,India,B.1.540,2
2020-04-03,India,B.6,4
2020-04-03,India,B.6.6,2
2020-04-04,India,B.1,18
2020-04-04,India,B.1.1.306,2
2020-04-04,India,B.6,6
2020-04-04,India,B.6.6,2
2020-04-05,India,A,2
2020-04-05,India,A.9,4
2020-04-05,India,B.1,4
2020-04-05,India,B.1.1,4
2020-04-05,India,B.1.1.306,2
2020-04-05,India,B.1.195,4
2020-04-05,India,B.1.36,2
2020-04-05,India,B.6,12
2020-04-05,India,B.6.6,12
2020-04-05,India,B.61,2
2020-04-06,India,B,2
2020-04-06,India,B.1,4
2020-04-06,India,B.1.1,6
2020-04-06,India,B.1.1.306,4
2020-04-06,India,B.1.210,2
2020-04-06,India,B.1.36,4
2020-04-06,India,B.6,10
2020-04-06,India,B.6.6,2
2020-04-07,India,B.1,12
2020-04-07,India,B.1.1,4
2020-04-07,India,B.1.210,4
2020-04-07,India,B.1.540,2
2020-04-07,India,B.6,14
2020-04-07,India,B.6.6,2
2020-04-08,India,B,2
2020-04-08,India,B.1,4
2020-04-08,India,B.1.1,2
2020-04-08,India,B.1.560,2
2020-04-08,India,B.6,8
2020-04-08,India,B.6.6,2
2020-04-09,India,B.1,2
2020-04-09,India,B.1.1,4
2020-04-09,India,B.1.206,2
2020-04-09,India,B.6,16
2020-04-09,India,B.6.1,2
2020-04-09,India,B.6.6,4
2020-04-10,India,B,2
2020-04-10,India,B.1,4
2020-04-10,India,B.1.1.306,2
2020-04-10,India,B.4,2
2020-04-10,India,B.6,12
2020-04-11,India,B.1,4
2020-04-11,India,B.1.195,2
2020-04-11,India,B.1.210,2
2020-04-11,India,B.1.36.8,2
2020-04-11,India,B.6,4
2020-04-12,India,B.1,2
2020-04-12,India,B.1.1.306,6
2020-04-12,India,B.6,8
2020-04-12,India,B.6.6,6
2020-04-13,India,B.1,14
2020-04-13,India,B.1.1,2
2020-04-13,India,B.1.1.306,6
