date,country,lineage,count
2020-01-23,Singapore,B,2
2020-01-25,Singapore,A,1
2020-01-25,Singapore,B,1
2020-01-27,Singapore,B,3
2020-01-27,Singapore,B.1,1
2020-01-29,Singapore,A,1
2020-01-29,Singapore,B,1
2020-01-31,Singapore,A,1
2020-01-31,Singapore,B.1,1
2020-02-01,Singapore,B,1
2020-02-02,Singapore,A,1
2020-02-02,Singapore,B,1
2020-02-03,Singapore,A,1
2020-02-03,Singapore,B,3
2020-02-04,Singapore,B,2
2020-02-05,Singapore,B,1
2020-02-06,Singapore,B,3
2020-02-06,Singapore,B.1,1
2020-02-07,Singapore,B,2
2020-02-08,Singapore,B,2
2020-02-09,Singapore,B,3
2020-02-10,Singapore,B,1
2020-02-13,Singapore,B,2
2020-02-14,Singapore,B,2
2020-02-14,Singapore,B.6,1
2020-02-15,Singapore,B,1
2020-02-16,Singapore,B,4
2020-02-17,Singapore,B.1,1
2020-02-18,Singapore,B,1
2020-02-18,Singapore,B.1.540,1
2020-02-19,Singapore,B,2
2020-02-20,Singapore,B,1
2020-02-27,Singapore,B,2
2020-02-28,Singapore,B,1
2020-02-28,Singapore,B.1,1
2020-03-01,Singapore,B.1,1
2020-03-02,Singapore,B,4
2020-03-03,Singapore,B,1
2020-03-04,Singapore,B,1
2020-03-05,Singapore,B,5
2020-03-05,Singapore,B.3,1
2020-03-05,Singapore,B.35,1
2020-03-06,Singapore,B,3
2020-03-06,Singapore,B.1.1,1
2020-03-06,Singapore,B.35,1
2020-03-06,Singapore,B.6,1
2020-03-07,Singapore,B,1
2020-03-08,Singapore,B,3
2020-03-08,Singapore,B.1,1
2020-03-09,Singapore,B,4
2020-03-09,Singapore,B.1,1
2020-03-10,Singapore,B,4
2020-03-10,Singapore,B.1,3
2020-03-11,Singapore,B,5
2020-03-11,Singapore,B.1,1
2020-03-11,Singapore,B.39,1
2020-03-11,Singapore,B.6.3,2
2020-03-12,Singapore,B,1
2020-03-12,Singapore,B.1,3
2020-03-12,Singapore,B.6,2
2020-03-13,Singapore,B,2
2020-03-13,Singapore,B.1,4
2020-03-13,Singapore,B.39,1
2020-03-13,Singapore,B.6,2
2020-03-14,Singapore,A.1,1
2020-03-14,Singapore,B,6
2020-03-14,Singapore,B.1,2
2020-03-14,Singapore,B.1.1,1
2020-03-14,Singapore,B.35,1
2020-03-14,Singapore,B.6,1
2020-03-15,Singapore,B,2
2020-03-15,Singapore,B.1,4
2020-03-15,Singapore,B.1.1,1
2020-03-16,Singapore,B,4
2020-03-16,Singapore,B.1,3
2020-03-16,Singapore,B.1.1,3
2020-03-16,Singapore,B.1.1.257,2
2020-03-16,Singapore,B.1.22,1
2020-03-16,Singapore,B.55,1
2020-03-16,Singapore,B.56,1
2020-03-16,Singapore,B.6.6,1
2020-03-17,Singapore,A.1,1
2020-03-17,Singapore,A.5,2
2020-03-17,Singapore,B,2
2020-03-17,Singapore,B.1,8
2020-03-17,Singapore,B.1.1,7
2020-03-17,Singapore,B.3,2
2020-03-17,Singapore,B.6,4
2020-03-18,Singapore,A.6,1
