date,country,lineage,count
2020-01-29,United Kingdom,A.2,4
2020-02-03,United Kingdom,B.1,3
2020-02-03,United Kingdom,B.55,1
2020-02-05,United Kingdom,B,1
2020-02-07,United Kingdom,B,1
2020-02-08,United Kingdom,B,3
2020-02-09,United Kingdom,B.40,3
2020-02-09,United Kingdom,B.61,1
2020-02-12,United Kingdom,B,1
2020-02-13,United Kingdom,B.33,1
2020-02-13,United Kingdom,B.40,3
2020-02-14,United Kingdom,B.1,1
2020-02-14,United Kingdom,B.33,1
2020-02-14,United Kingdom,B.40,1
2020-02-14,United Kingdom,B.61,1
2020-02-15,United Kingdom,B.1.1,1
2020-02-15,United Kingdom,B.4,1
2020-02-15,United Kingdom,B.40,2
2020-02-16,United Kingdom,B.1.1,2
2020-02-16,United Kingdom,B.4,1
2020-02-16,United Kingdom,B.40,3
2020-02-18,United Kingdom,B.1,1
2020-02-18,United Kingdom,B.40,1
2020-02-19,United Kingdom,B.1,1
2020-02-19,United Kingdom,B.40,1
2020-02-20,United Kingdom,B.1,1
2020-02-20,United Kingdom,B.40,1
2020-02-23,United Kingdom,B.1.1,1
2020-02-23,United Kingdom,B.3,1
2020-02-24,United Kingdom,B,3
2020-02-24,United Kingdom,B.1,3
2020-02-24,United Kingdom,B.1.1,1
2020-02-24,United Kingdom,B.1.76,1
2020-02-25,United Kingdom,B,3
2020-02-25,United Kingdom,B.1,2
2020-02-25,United Kingdom,B.1.1,1
2020-02-25,United Kingdom,B.1.1.142,1
2020-02-25,United Kingdom,B.39,1
2020-02-25,United Kingdom,B.40,2
2020-02-26,United Kingdom,B,4
2020-02-26,United Kingdom,B.1,5
2020-02-26,United Kingdom,B.1.1,1
2020-02-26,United Kingdom,B.33,2
2020-02-27,United Kingdom,B,5
2020-02-27,United Kingdom,B.1,14
2020-02-27,United Kingdom,B.1.1,3
2020-02-27,United Kingdom,B.29,1
2020-02-27,United Kingdom,B.4,3
2020-02-27,United Kingdom,B.40,4
2020-02-27,United Kingdom,B.55,1
2020-02-28,United Kingdom,B,2
2020-02-28,United Kingdom,B.1,7
2020-02-28,United Kingdom,B.1.1,4
2020-02-28,United Kingdom,B.1.1.142,4
2020-02-28,United Kingdom,B.1.223,1
2020-02-28,United Kingdom,B.1.76,1
2020-02-28,United Kingdom,B.23,1
2020-02-28,United Kingdom,B.33,1
2020-02-28,United Kingdom,B.4,5
2020-02-28,United Kingdom,B.40,6
2020-02-28,United Kingdom,B.61,4
2020-02-29,United Kingdom,B,4
2020-02-29,United Kingdom,B.1,12
2020-02-29,United Kingdom,B.1.1,7
2020-02-29,United Kingdom,B.1.1.142,2
2020-02-29,United Kingdom,B.1.1.323,1
2020-02-29,United Kingdom,B.1.91,1
2020-02-29,United Kingdom,B.29,1
2020-02-29,United Kingdom,B.33,1
2020-02-29,United Kingdom,B.4,5
2020-02-29,United Kingdom,B.55,1
2020-03-01,United Kingdom,B,1
2020-03-01,United Kingdom,B.1,19
2020-03-01,United Kingdom,B.1.1,11
2020-03-01,United Kingdom,B.1.1.142,5
2020-03-01,United Kingdom,B.1.76,1
2020-03-01,United Kingdom,B.1.91,4
2020-03-01,United Kingdom,B.23,1
2020-03-01,United Kingdom,B.33,7
2020-03-01,United Kingdom,B.4,6
2020-03-01,United Kingdom,B.40,11
2020-03-01,United Kingdom,B.55,1
2020-03-02,United Kingdom,B,2
2020-03-02,United Kingdom,B.1,25
2020-03-02,United Kingdom,B.1.1,12
2020-03-02,United Kingdom,B.1.1.142,11
2020-03-02,United Kingdom,B.1.1.257,6
2020-03-02,United Kingdom,B.1.1.369,1
2020-03-02,United Kingdom,B.1.91,3
2020-03-02,United Kingdom,B.23,1
2020-03-02,United Kingdom,B.29,1
2020-03-02,United Kingdom,B.33,6
2020-03-02,United Kingdom,B.39,1
2020-03-02,United Kingdom,B.4,3
2020-03-02,United Kingdom,B.40,6
2020-03-02,United Kingdom,B.55,7
2020-03-02,United Kingdom,B.57,1
2020-03-02,United Kingdom,B.61,1
2020-03-03,United Kingdom,B,4
2020-03-03,United Kingdom,B.1,33
2020-03-03,United Kingdom,B.1.1,19
2020-03-03,United Kingdom,B.1.1.1,1
2020-03-03,United Kingdom,B.1.1.142,17
2020-03-03,United Kingdom,B.1.1.257,7
2020-03-03,United Kingdom,B.1.157,1
2020-03-03,United Kingdom,B.1.91,6
2020-03-03,United Kingdom,B.23,1
2020-03-03,United Kingdom,B.27,2
2020-03-03,United Kingdom,B.29,2
2020-03-03,United Kingdom,B.33,7
2020-03-03,United Kingdom,B.39,1
2020-03-03,United Kingdom,B.4,5
2020-03-03,United Kingdom,B.40,5
2020-03-03,United Kingdom,B.55,5
2020-03-03,United Kingdom,B.61,1
2020-03-04,United Kingdom,B,9
2020-03-04,United Kingdom,B.1,30
2020-03-04,United Kingdom,B.1.1,14
2020-03-04,United Kingdom,B.1.1.1,2
2020-03-04,United Kingdom,B.1.1.142,11
2020-03-04,United Kingdom,B.1.76,2
2020-03-04,United Kingdom,B.1.91,3
2020-03-04,United Kingdom,B.23,2
2020-03-04,United Kingdom,B.27,2
2020-03-04,United Kingdom,B.29,4
2020-03-04,United Kingdom,B.33,4
2020-03-04,United Kingdom,B.4,7
2020-03-04,United Kingdom,B.40,14
2020-03-04,United Kingdom,B.55,12
2020-03-04,United Kingdom,B.58,1
2020-03-04,United Kingdom,B.60,1
2020-03-04,United Kingdom,B.61,2
2020-03-05,United Kingdom,B,3
2020-03-05,United Kingdom,B.1,19
2020-03-05,United Kingdom,B.1.1,17
2020-03-05,United Kingdom,B.1.1.1,1
2020-03-05,United Kingdom,B.1.1.142,3
2020-03-05,United Kingdom,B.1.1.257,2
2020-03-05,United Kingdom,B.1.383,2
2020-03-05,United Kingdom,B.1.76,4
2020-03-05,United Kingdom,B.1.91,1
2020-03-05,United Kingdom,B.23,3
2020-03-05,United Kingdom,B.29,1
2020-03-05,United Kingdom,B.31,1
2020-03-05,United Kingdom,B.33,9
2020-03-05,United Kingdom,B.39,3
2020-03-05,United Kingdom,B.4,8
2020-03-05,United Kingdom,B.40,7
2020-03-05,United Kingdom,B.55,13
2020-03-05,United Kingdom,B.61,6
2020-03-06,United Kingdom,B,7
2020-03-06,United Kingdom,B.1,15
2020-03-06,United Kingdom,B.1.1,17
2020-03-06,United Kingdom,B.1.1.1,1
2020-03-06,United Kingdom,B.1.1.10,1
2020-03-06,United Kingdom,B.1.1.142,6
2020-03-06,United Kingdom,B.1.1.257,3
2020-03-06,United Kingdom,B.1.105,1
2020-03-06,United Kingdom,B.1.201,1
2020-03-06,United Kingdom,B.1.395,1
2020-03-06,United Kingdom,B.1.69,2
2020-03-06,United Kingdom,B.1.76,1
2020-03-06,United Kingdom,B.1.91,3
2020-03-06,United Kingdom,B.28,3
2020-03-06,United Kingdom,B.29,2
2020-03-06,United Kingdom,B.3,1
2020-03-06,United Kingdom,B.33,7
2020-03-06,United Kingdom,B.39,2
2020-03-06,United Kingdom,B.4,3
2020-03-06,United Kingdom,B.40,4
2020-03-06,United Kingdom,B.47,2
2020-03-06,United Kingdom,B.55,13
2020-03-06,United Kingdom,B.61,2
2020-03-07,United Kingdom,B,4
2020-03-07,United Kingdom,B.1,10
2020-03-07,United Kingdom,B.1.1,12
2020-03-07,United Kingdom,B.1.1.1,1
2020-03-07,United Kingdom,B.1.1.10,2
2020-03-07,United Kingdom,B.1.1.142,3
2020-03-07,United Kingdom,B.1.1.257,4
2020-03-07,United Kingdom,B.1.1.33,1
2020-03-07,United Kingdom,B.1.177,1
2020-03-07,United Kingdom,B.1.395,1
2020-03-07,United Kingdom,B.1.76,1
2020-03-07,United Kingdom,B.1.91,2
2020-03-07,United Kingdom,B.23,3
2020-03-07,United Kingdom,B.27,1
2020-03-07,United Kingdom,B.29,2
2020-03-07,United Kingdom,B.33,2
2020-03-07,United Kingdom,B.39,3
2020-03-07,United Kingdom,B.4,2
