lineage,R
A,-42.383060455322266
A.1,-22.335399627685547
A.2.5.2,1.272585391998291
AV.1,-38.73392868041992
AY.1,-106.4244384765625
AY.100,-99.5377426147461
AY.101,-92.94512176513672
AY.102,-106.65665435791016
AY.103,-99.61766052246094
AY.105,-103.9123306274414
AY.106,-101.95764923095703
AY.107,-100.02240753173828
AY.108,1.256119728088379
AY.109,-101.25044250488281
AY.110,-116.05233764648438
AY.111,-96.77983856201172
AY.112,-93.68230438232422
AY.112.2,-100.5929946899414
AY.113,-98.29761505126953
AY.114,-102.77271270751953
AY.116,-103.3305892944336
AY.116.1,-100.42019653320312
AY.117,-101.06489562988281
AY.118,-101.0699462890625
AY.119,-100.79249572753906
AY.119.1,-92.27595520019531
AY.119.2,-101.54403686523438
AY.120,-100.17020416259766
AY.120.1,-104.52713775634766
AY.120.2,-95.34566497802734
AY.121,-97.19116973876953
AY.121.1,-98.39012908935547
AY.122,-102.09678649902344
AY.122.1,-106.51805877685547
AY.122.4,-100.33015441894531
AY.122.5,-82.34046936035156
AY.122.6,-79.81031799316406
AY.124,-101.51868438720703
AY.124.1,1.2656826972961426
AY.124.1.1,-91.43904113769531
AY.125,-93.28265380859375
AY.126,-101.0337142944336
AY.127,-95.78895568847656
AY.127.1,1.2343997955322266
AY.129,-98.27172088623047
AY.13,-101.52110290527344
AY.131,1.2276848554611206
AY.132,1.2685332298278809
AY.133,-75.56546783447266
AY.14,-111.05494689941406
AY.16,-97.6721420288086
AY.2,-98.0374526977539
AY.20,-100.90025329589844
AY.23,-108.25093841552734
AY.23.1,1.272547960281372
AY.24,-96.40831756591797
AY.25,-100.91560363769531
AY.25.1,-99.88185119628906
AY.25.1.1,-93.35206604003906
AY.25.1.2,-93.64108276367188
AY.25.2,1.2660495042800903
AY.25.3,-100.7831802368164
AY.26,-102.91777038574219
AY.26.1,1.2724082469940186
AY.27,-107.83245086669922
AY.28,1.2722793817520142
AY.29,1.259958028793335
AY.3,-100.9044418334961
AY.3.1,-101.9328842163086
AY.3.3,-91.23841094970703
AY.30,1.2727035284042358
AY.33,-99.08650970458984
AY.34,-98.04409790039062
AY.34.1,-94.97212982177734
AY.34.1.1,-64.43163299560547
AY.34.2,1.2657246589660645
AY.35,-99.73875427246094
AY.36,-98.33474731445312
AY.37,-112.70983123779297
AY.38,-97.92881774902344
AY.39,-98.60353088378906
AY.39.1,-99.6878890991211
AY.39.1.1,1.2724082469940186
AY.39.2,-94.35124969482422
AY.39.3,-90.05615997314453
AY.4,-98.5315170288086
AY.4.10,-90.28677368164062
AY.4.12,1.261799931526184
AY.4.13,1.2511123418807983
AY.4.15,1.2709351778030396
AY.4.2,-91.43022918701172
AY.4.2.1,-85.33806610107422
AY.4.2.2,-91.39014434814453
AY.4.2.3,-106.36747741699219
AY.4.3,1.224509835243225
AY.4.4,1.2719759941101074
AY.4.5,-87.069091796875
AY.4.6,1.2516469955444336
AY.4.8,-79.1781997680664
AY.4.9,1.175624966621399
AY.41,1.2643935680389404
AY.42,-103.73992919921875
AY.43,-96.50791931152344
AY.43.1,1.2330455780029297
AY.43.2,1.265323281288147
AY.43.3,-96.93223571777344
AY.43.4,-86.79800415039062
AY.43.6,1.2719759941101074
AY.43.8,-99.19530487060547
AY.44,-101.57154083251953
AY.45,-109.69779968261719
AY.46,-110.9119873046875
AY.46.1,-97.07626342773438
AY.46.2,1.2616908550262451
AY.46.3,1.272585391998291
AY.46.4,-103.50154113769531
AY.46.5,-89.72447967529297
AY.46.6,-95.62444305419922
AY.47,-104.25486755371094
AY.48,-103.43148040771484
AY.5,-108.93815612792969
AY.5.1,1.2719111442565918
AY.5.3,-102.4329833984375
AY.5.4,1.2620238065719604
AY.52,-139.3082275390625
AY.54,-109.2586669921875
AY.55,1.260810136795044
AY.56,-98.4673843383789
AY.57,-78.68994140625
AY.6,-77.678955078125
AY.62,-118.41085052490234
AY.64,-109.36424255371094
AY.65,-104.13957214355469
AY.67,-99.79452514648438
AY.69,1.2174382209777832
AY.7.1,-148.92086791992188
AY.7.2,-85.10717010498047
AY.72,-92.90901184082031
AY.73,1.2640026807785034
AY.74,-105.84420776367188
AY.75,-103.14334869384766
AY.77,-103.42204284667969
AY.79,1.2724082469940186
AY.81,-102.70902252197266
AY.83,-105.8567123413086
AY.85,-90.35675811767578
AY.86,-3.542261838912964
AY.87,1.2606321573257446
AY.88,-100.64994049072266
