lineage,R
A,-163.17861938476562
A.1,-152.59619140625
A.24,-122.44730377197266
A.5,-152.3283233642578
A.6,-150.15869140625
AD.2,-123.13804626464844
AU.3,-107.0213851928711
AY.1,-76.83937072753906
AY.100,-57.898155212402344
AY.103,-63.07176208496094
AY.104,-61.47707748413086
AY.107,-85.41663360595703
AY.112,-78.08914184570312
AY.112.2,-55.41273880004883
AY.116,-56.704280853271484
AY.118,-59.049991607666016
AY.119,-58.8550910949707
AY.120,-61.07071304321289
AY.121,-58.2720947265625
AY.122,-68.91324615478516
AY.122 (consensus call),-103.51471710205078
AY.122.5,-57.92012405395508
AY.122.6,-58.009071350097656
AY.125,-57.351139068603516
AY.126,-63.2525749206543
AY.127,-57.12361145019531
AY.131,-53.927330017089844
AY.23,-73.44764709472656
AY.23.1,-67.8321762084961
AY.24,-85.83277130126953
AY.25,-67.99506378173828
AY.25.1,-63.31936264038086
AY.3,-60.12226867675781
AY.3.1,-57.552310943603516
AY.30,-83.45832824707031
AY.31,-84.50354766845703
AY.33,-76.83937072753906
AY.33.2,-56.409969329833984
AY.34,-59.100196838378906
AY.34.1,-59.100196838378906
AY.36,-59.51019287109375
AY.39,-55.49177551269531
AY.39 (consensus call),-94.60913848876953
AY.39.1,-60.86233139038086
AY.4,-66.0014877319336
AY.4.2,-61.91838836669922
AY.4.2.1,-61.097537994384766
AY.4.2.2,-59.64627456665039
AY.4.2.3,-63.069732666015625
AY.4.2.5,-59.340492248535156
AY.42,-62.55894088745117
AY.43,-62.562652587890625
AY.43.5,-58.8550910949707
AY.44,-61.60262680053711
AY.45,-86.2142333984375
AY.46,-52.52107238769531
AY.46.5,-58.8550910949707
AY.47,-63.00918960571289
AY.5,-63.34415054321289
AY.54,-67.34907531738281
AY.57,-59.11008071899414
AY.59,-75.17265319824219
AY.6,-77.40213012695312
AY.69,-64.9135513305664
AY.7.1,-57.823665618896484
AY.75,-80.96878051757812
AY.76,-66.25152587890625
AY.79,-74.257568359375
AY.85,-55.802879333496094
AY.92,-55.49177551269531
AY.98,-59.576114654541016
AY.98.1,-61.44435501098633
B,-158.73048400878906
B.1,-135.55755615234375
B.1.1,-127.40506744384766
B.1.1.1,-124.96554565429688
B.1.1.10,-148.93231201171875
B.1.1.176,-119.69000244140625
B.1.1.201,-124.74664306640625
B.1.1.214,-117.63188171386719
B.1.1.216,-121.55049896240234
B.1.1.25,-119.52226257324219
B.1.1.257,-153.47613525390625
B.1.1.263,-123.49237823486328
B.1.1.28,-120.89141082763672
B.1.1.284,-122.84430694580078
B.1.1.306,-116.33602905273438
B.1.1.315,-115.59123992919922
B.1.1.317,-120.29317474365234
B.1.1.318,-105.7646255493164
B.1.1.354,-122.4446792602539
B.1.1.369,-143.23672485351562
B.1.1.393,-117.96964263916016
B.1.1.397,-122.71755981445312
B.1.1.398,-119.16507720947266
B.1.1.46,-124.08180236816406
B.1.1.486,-119.57769775390625
B.1.1.5,-149.7053985595703
B.1.1.529,88.38309478759766
B.1.1.63,-123.27516174316406
B.1.1.7,-110.54212188720703
B.1.1.70,-121.77408599853516
B.1.1.71,-151.1193084716797
B.1.1.8,-149.0557098388672
B.1.1.89,-151.42347717285156
B.1.104,-137.09461975097656
B.1.111,-116.79224395751953
B.1.13,-147.18333435058594
B.1.160,-118.28971099853516
B.1.177,-119.76260375976562
B.1.177.11,-123.34122467041016
B.1.177.15,-122.35562896728516
B.1.177.18,-122.6267318725586
B.1.177.77,-122.71461486816406
B.1.177.81,-123.13804626464844
B.1.2,-120.36930084228516
B.1.210,-127.65283203125
B.1.22,-153.04275512695312
B.1.223,-147.18333435058594
B.1.240,-124.15666198730469
B.1.250,-146.99246215820312
B.1.258,-123.69557189941406
B.1.258.12,-120.12004852294922
B.1.258.17,-102.48616027832031
B.1.264.1,-123.34122467041016
B.1.314,-151.42347717285156
B.1.351,-103.85606384277344
B.1.351.3,-107.45314025878906
B.1.36,-122.99796295166016
B.1.36.16,-121.02733612060547
B.1.36.19,-120.7542495727539
B.1.36.24,-122.07548522949219
B.1.36.29,-120.33136749267578
B.1.36.8,-118.67463684082031
B.1.367,-123.50032806396484
B.1.383,-150.291748046875
B.1.39,-142.76760864257812
B.1.391,-148.84970092773438
B.1.404,-116.40071868896484
B.1.411,-111.31161499023438
B.1.422,-144.08409118652344
B.1.427,-114.99703979492188
B.1.429,-115.05559539794922
B.1.456,-119.25164031982422
B.1.459,-117.9286117553711
B.1.466,-109.10078430175781
B.1.466.2,-106.2472915649414
B.1.468,-120.19540405273438
B.1.469,-118.26126098632812
B.1.470,-119.70674896240234
B.1.471,-116.18367767333984
B.1.524,-114.6229248046875
B.1.525,-107.50576782226562
B.1.526,-112.94851684570312
B.1.540,-170.1724853515625
B.1.552,-139.75062561035156
B.1.560,-111.26097106933594
B.1.595,-150.20668029785156
B.1.617,-103.34577941894531
B.1.617.1,-106.04243469238281
B.1.617.2,-91.64187622070312
B.1.617.3,-100.60608673095703
B.1.618,-110.11043548583984
B.1.637,-112.82212829589844
B.1.93,-151.42347717285156
B.11,-143.37486267089844
B.23,-149.7053985595703
B.28,-148.01092529296875
B.29,-145.42007446289062
B.3,-152.96090698242188
B.35,-158.96871948242188
B.39,-139.556640625
B.4,-150.56407165527344
B.40,-151.02328491210938
B.55,-153.04275512695312
B.56,-149.86990356445312
B.6,-139.70248413085938
B.6.3,-133.44815063476562
B.6.4,-127.1311264038086
B.6.6,-130.9164581298828
BA.1,-52.708946228027344
BA.1.1,-40.98958206176758
BA.1.1 (consensus call),-36.04462432861328
BA.1.1.1,-48.33958053588867
BA.1.1.10,-47.81252670288086
BA.1.1.11,-46.04812240600586
BA.1.1.12,-49.75336837768555
BA.1.1.13,-48.63729476928711
BA.1.1.14,-40.77456283569336
BA.1.1.15,-30.716064453125
BA.1.1.16,-49.50118637084961
BA.1.1.18,-43.33195114135742
BA.1.1.2,-39.756351470947266
BA.1.1.7,-50.782501220703125
BA.1.10,-55.8037109375
BA.1.13,-38.458438873291016
BA.1.13.1,-35.63486099243164
BA.1.14,-37.6746711730957
BA.1.15,-48.40810012817383
BA.1.15.1,-54.87128829956055
BA.1.15.3,-51.42691421508789
BA.1.16,-47.94391632080078
BA.1.16.1,-48.08448791503906
BA.1.17,-49.42198944091797
BA.1.17.1,-49.586761474609375
BA.1.17.2,-51.55432891845703
BA.1.18,-48.79011917114258
BA.1.20,-47.45716857910156
BA.1.8,-51.79450225830078
BA.2,-26.87505340576172
BA.2.1,3.0667760372161865
BA.2.10,-33.53516387939453
BA.2.10.1,-29.069292068481445
BA.2.10.3,-34.03234100341797
BA.2.10.4,-6.718142986297607
BA.2.12,-37.95512008666992
BA.2.12.1,-15.341658592224121
BA.2.12.2,-21.134239196777344
BA.2.13,-21.25263214111328
BA.2.14,-20.51400375366211
BA.2.17,-31.32756233215332
BA.2.18,-18.01682472229004
BA.2.2,-8.528836250305176
BA.2.2.1,-48.027103424072266
BA.2.20,-22.331472396850586
BA.2.22,-19.748308181762695
BA.2.23,-21.22553825378418
BA.2.27,-21.32448387145996
BA.2.28,-35.43690872192383
BA.2.29,-17.099411010742188
BA.2.3,-27.375564575195312
BA.2.3.1,-24.323965072631836
BA.2.3.10,-28.969196319580078
BA.2.3.11,-30.78974723815918
BA.2.3.12,-32.36277770996094
BA.2.3.14,-21.43950843811035
BA.2.3.16,-32.89980697631836
BA.2.3.17,-21.073469161987305
BA.2.3.2,-22.347280502319336
BA.2.3.20,6.414043426513672
BA.2.3.5,-29.197099685668945
BA.2.3.7,-14.793313026428223
BA.2.3.8,-28.518543243408203
BA.2.31,-33.640602111816406
BA.2.31.1,-21.620521545410156
BA.2.32,-26.508010864257812
BA.2.36,-21.760334014892578
BA.2.37,-33.69784927368164
BA.2.38,-15.50840950012207
BA.2.38.1,-4.958588123321533
BA.2.38.2,-6.584627151489258
BA.2.39,-29.87400245666504
BA.2.4,-30.685388565063477
BA.2.40.1,-12.869854927062988
BA.2.42,-18.137161254882812
BA.2.43,-21.692842483520508
BA.2.44,-16.35184669494629
BA.2.49,-26.55423355102539
BA.2.5,-34.42698669433594
BA.2.54,-8.382665634155273
BA.2.56,-14.89653205871582
BA.2.57,-25.856765747070312
BA.2.6,-20.888362884521484
BA.2.61,-15.855781555175781
BA.2.62,-23.191518783569336
BA.2.63,-28.66872787475586
BA.2.64,-27.46665382385254
BA.2.65,-24.514362335205078
BA.2.65 (consensus call),-22.03470230102539
BA.2.68,-25.742992401123047
BA.2.7,-23.637956619262695
BA.2.72,-20.51400375366211
BA.2.74,-7.427995204925537
BA.2.75,-4.651041030883789
BA.2.75.1,-1.5780290365219116
BA.2.75.10,-3.4016056060791016
BA.2.75.2,2.7937064170837402
BA.2.75.3,-5.001064777374268
BA.2.75.4,5.630607604980469
BA.2.75.5,3.137528896331787
BA.2.75.6,68.7333755493164
BA.2.75.7,-3.2443926334381104
BA.2.75.8,1.3275232315063477
BA.2.76,-8.575156211853027
BA.2.76.1,-7.840125560760498
BA.2.78,-16.096935272216797
BA.2.79,-11.606389999389648
BA.2.79.1,-18.759220123291016
BA.2.86,110.8495864868164
BA.2.86 (consensus call),149.0606231689453
BA.2.86.1,96.11907196044922
BA.2.86.2,109.98429107666016
BA.2.86.3,81.53317260742188
BA.2.87 (consensus call),-24.5145263671875
BA.2.9,-25.02077293395996
BA.2.9.3,-23.861398696899414
BA.2.9.5,-22.22633934020996
BA.2.9.6,-23.192537307739258
BA.4,-14.730128288269043
BA.4.1,-14.140288352966309
BA.4.1.1,-15.68078327178955
BA.4.1.6,-18.652969360351562
BA.4.1.8,21.10890769958496
BA.4.1.9,4.739617347717285
BA.4.2,-11.338111877441406
BA.4.3,-15.819991111755371
BA.4.4,-17.41569709777832
BA.4.5,-14.09072494506836
BA.4.6,1.3571263551712036
BA.4.6.3,10.326578140258789
BA.4.6.4,-7.422994136810303
BA.4.6.5,0.28827860951423645
BA.5,-2.1230969429016113
BA.5.1,-7.109942436218262
BA.5.1.1,-8.39851188659668
BA.5.1.10,-7.898820400238037
BA.5.1.12,20.0589656829834
BA.5.1.15,-14.94549560546875
BA.5.1.19,-8.313840866088867
BA.5.1.2,-2.1734426021575928
BA.5.1.22,-5.58211612701416
BA.5.1.23,-11.079461097717285
BA.5.1.24,-5.738027572631836
BA.5.1.25,1.9524474143981934
BA.5.1.27,34.49761962890625
BA.5.1.3,4.8696088790893555
BA.5.1.30,-2.7269725799560547
BA.5.1.32,22.800697326660156
BA.5.1.35,-4.300710678100586
BA.5.1.4,-15.38408374786377
BA.5.1.5,15.637588500976562
BA.5.1.6,-4.897488594055176
BA.5.1.8,4.9416184425354
BA.5.10,-1.3259234428405762
BA.5.10.1,-3.314652442932129
BA.5.2,-4.37761116027832
BA.5.2.1,-5.238332271575928
BA.5.2.11,-0.5856846570968628
BA.5.2.12,-1.0316957235336304
BA.5.2.13,15.526495933532715
BA.5.2.14,12.45069694519043
BA.5.2.16,-3.904989004135132
BA.5.2.18,3.843402147293091
BA.5.2.19,-4.601767539978027
BA.5.2.2,-13.514053344726562
BA.5.2.20,1.2355396747589111
BA.5.2.21,14.877705574035645
BA.5.2.22,6.668045520782471
BA.5.2.23,22.506553649902344
BA.5.2.24,7.9313530921936035
BA.5.2.25,21.837203979492188
BA.5.2.26,-2.6676764488220215
BA.5.2.27,-1.297519326210022
BA.5.2.28,-5.798327445983887
BA.5.2.3,-4.876613616943359
BA.5.2.33,10.57441234588623
BA.5.2.34,11.216017723083496
BA.5.2.35,18.362869262695312
BA.5.2.36,15.439779281616211
BA.5.2.37,1.8304766416549683
BA.5.2.4,-7.840134143829346
BA.5.2.43,22.097496032714844
BA.5.2.44,-3.3833093643188477
BA.5.2.45,12.664310455322266
BA.5.2.47,9.595770835876465
BA.5.2.48,24.43579864501953
BA.5.2.49,24.270505905151367
BA.5.2.5,-8.009424209594727
BA.5.2.50,27.41790008544922
BA.5.2.55,-0.7800659537315369
BA.5.2.56,7.331876754760742
BA.5.2.57,14.484771728515625
BA.5.2.58,15.243646621704102
BA.5.2.6,9.842277526855469
BA.5.2.61,28.750812530517578
BA.5.2.62,8.679118156433105
BA.5.2.7,8.32056713104248
BA.5.2.9,5.350515365600586
BA.5.3.1,-2.2829301357269287
BA.5.3.2,-19.15907859802246
BA.5.3.3,-16.6708927154541
BA.5.5,-11.370803833007812
BA.5.5.3,-6.513288974761963
BA.5.6,-9.82114028930664
BA.5.8,-10.213783264160156
BA.5.9,9.42926025390625
BD.1,-53.95176696777344
BE.1,-14.112199783325195
BE.1.1,-5.09333610534668
BE.1.1.1,15.243646621704102
BE.1.1.2,-0.650334358215332
BE.1.3,-17.943222045898438
BE.1.4,-2.922666311264038
BE.10,18.209108352661133
BE.12,-16.894926071166992
BE.3,-3.9838132858276367
BE.4,-5.760773658752441
BE.4.1,-0.2711327373981476
BE.4.1.1,0.3871878683567047
BE.4.2,5.269006729125977
BE.7,21.757064819335938
BF.1,-15.035296440124512
BF.1.1,-18.143115997314453
BF.10,-2.257528305053711
BF.11,22.120954513549805
BF.11.1,-1.633131980895996
BF.11.5,9.693967819213867
BF.12,-12.288278579711914
BF.13,12.45069694519043
BF.14,12.668065071105957
BF.15,-2.7270493507385254
BF.17,-15.165077209472656
BF.18,-2.3365581035614014
BF.2,12.062561988830566
BF.21,-5.07814884185791
BF.22,-4.698065757751465
BF.23,-16.136043548583984
BF.24,-3.6431124210357666
BF.26,-3.1265923976898193
BF.27,-7.78413200378418
BF.28,-3.8300082683563232
BF.3,-5.891523361206055
BF.3.1,-6.5553364753723145
BF.31.1,20.330379486083984
BF.32,14.81161117553711
BF.36,-12.979453086853027
BF.39,-0.0022730373311787844
BF.4,-3.18740177154541
BF.41,-14.504793167114258
BF.5,5.545176029205322
BF.5.2,15.459986686706543
BF.6,0.9725154042243958
BF.7,14.606104850769043
BF.7.13,24.74151611328125
BF.7.13.2,33.72563171386719
BF.7.14,25.48863410949707
BF.7.14.1,35.64444351196289
BF.7.14.3,19.61637306213379
BF.7.14.4,25.59267234802246
BF.7.14.5,26.335853576660156
BF.7.14.6,27.591163635253906
BF.7.14.7,22.953258514404297
BF.7.15,27.158479690551758
BF.7.18,21.443490982055664
BF.7.19.1,22.87645721435547
BF.7.21,27.605884552001953
BF.7.22,3.3369460105895996
BF.7.24,7.811789512634277
BF.7.26,4.739617347717285
BF.7.3,11.173544883728027
BF.7.4,11.78997802734375
BF.7.4.1,23.978544235229492
BF.7.4.3,23.54734230041504
BF.7.5,17.751689910888672
BF.7.6,18.45111846923828
BF.7.7,21.39162826538086
BF.8,-12.417360305786133
BG.5,-14.504793167114258
BH.1,-1.0881943702697754
BJ.1,0.4266735017299652
BL.1,3.6433472633361816
BL.1.1,2.550421714782715
BL.1.3,-4.897488594055176
BL.1.5,18.513925552368164
BL.2,2.9879069328308105
BL.3,0.9680894613265991
BL.4,0.9045271277427673
BM.1,-0.9108944535255432
BM.1.1,4.825222015380859
BM.1.1.1,4.071673393249512
BM.1.1.3,6.036184787750244
