lineage,R
A,-122.4266128540039
A.1,-112.97843933105469
A.22,-111.9942626953125
A.5,-114.8991470336914
A.6,-113.14746856689453
AD.2,-87.59770202636719
AY.100,-49.38319396972656
AY.103,-45.790611267089844
AY.106,-45.44737243652344
AY.108,-50.700592041015625
AY.109,-52.25202941894531
AY.112,-51.164005279541016
AY.118,-51.18889617919922
AY.119,-48.21437072753906
AY.120,-50.093284606933594
AY.121,-48.036869049072266
AY.122,-51.367427825927734
AY.122.5,-43.561309814453125
AY.124.1.1,-44.92875671386719
AY.125,-54.91636657714844
AY.126,-53.05942916870117
AY.127,-30.745859146118164
AY.129,-50.24187469482422
AY.14,-52.76260757446289
AY.23,-55.49497985839844
AY.23.1,-49.273414611816406
AY.24,-54.857460021972656
AY.25,-49.75747299194336
AY.25.1,-53.475528717041016
AY.26,-55.5141487121582
AY.27,-49.92963409423828
AY.29,-54.411827087402344
AY.3,-51.912986755371094
AY.30,-45.84199905395508
AY.33,-45.22684860229492
AY.36,-47.95456314086914
AY.38,-53.4844970703125
AY.4,-51.75642013549805
AY.4.2,-45.535804748535156
AY.4.2.1,-40.60775375366211
AY.42,-46.91359329223633
AY.43,-46.58247375488281
AY.43.8,-43.935874938964844
AY.44,-53.500343322753906
AY.46,-54.025394439697266
AY.46.5,-46.25385665893555
AY.46.6,-43.55681610107422
AY.5,-57.033531188964844
AY.5.4,-53.99586486816406
AY.54,-54.441436767578125
AY.57,-42.381221771240234
AY.59,-53.54753875732422
AY.6,-57.091278076171875
AY.69,-45.91694641113281
AY.71,-62.03791046142578
AY.74,-52.315731048583984
AY.75,-60.69742965698242
AY.75.2,-47.9409294128418
AY.85,-38.46327209472656
AY.87,-56.407344818115234
AY.9,-56.458290100097656
AY.9.2,-52.30934143066406
AY.91,-56.48242950439453
AY.98,-55.393985748291016
AY.98.1,-53.366756439208984
AY.99,-51.587921142578125
B,-123.92762756347656
B.1,-104.12492370605469
B.1.1,-100.6900634765625
B.1.1.1,-102.31443786621094
B.1.1.12,-72.01210021972656
B.1.1.164,-111.30094146728516
B.1.1.174,-84.20065307617188
B.1.1.189,-83.32857513427734
B.1.1.198,-113.08045196533203
B.1.1.216,-83.33477783203125
B.1.1.241,-88.40209197998047
B.1.1.25,-80.42858123779297
B.1.1.254,-113.44483184814453
B.1.1.263,-87.2685775756836
B.1.1.279,-91.54582214355469
B.1.1.28,-94.62799835205078
B.1.1.284,-89.32697296142578
B.1.1.306,-73.31936645507812
B.1.1.307,-88.41195678710938
B.1.1.317,-66.38114166259766
B.1.1.33,-109.97782135009766
B.1.1.354,-88.6856918334961
B.1.1.372,-87.70236206054688
B.1.1.373,-79.39894104003906
B.1.1.39,-83.8343276977539
B.1.1.398,-71.8834228515625
B.1.1.47,-96.83527374267578
B.1.1.529,-3.6118781566619873
B.1.1.63,-96.0771713256836
B.1.1.7,-64.94518280029297
B.1.1.70,-83.32857513427734
B.1.105,-90.55238342285156
B.1.160,-84.39095306396484
B.1.160.13,-76.22501373291016
B.1.177,-84.59902954101562
B.1.177.15,-80.74769592285156
B.1.177.4,-87.59770202636719
B.1.177.57,-83.7098159790039
B.1.177.7,-86.99533081054688
B.1.177.87,-76.06200408935547
B.1.178,-96.94503784179688
B.1.2,-83.09577941894531
B.1.210,-99.31243133544922
B.1.22,-112.7872314453125
B.1.243,-99.02677917480469
B.1.258,-81.66938018798828
B.1.351,-63.757537841796875
B.1.351.3,-63.08543395996094
B.1.36,-81.24889373779297
B.1.36.18,-84.5399169921875
B.1.36.19,-77.38987731933594
B.1.36.27,-73.63195037841797
B.1.36.29,-83.06507110595703
B.1.36.8,-86.93290710449219
B.1.362.2,-78.76416778564453
B.1.369,-89.4092788696289
B.1.413,-111.9942626953125
B.1.421,-89.18994140625
B.1.422,-112.98133087158203
B.1.456,-81.96205139160156
B.1.459,-81.86206817626953
B.1.466,-67.97560119628906
B.1.466.2,-63.17455291748047
B.1.468,-73.53070068359375
B.1.470,-99.85594177246094
B.1.471,-83.30901336669922
B.1.480,-90.95616149902344
B.1.499,-88.7130126953125
B.1.525,-62.10417938232422
B.1.560,-88.75698852539062
B.1.567,-73.38142395019531
B.1.595,-83.95758819580078
B.1.595.1,-99.45174407958984
B.1.617.1,-62.4762077331543
B.1.617.2,-53.07844543457031
B.1.619.1,-56.50077438354492
B.1.620,-58.5695915222168
B.1.621,-58.21268844604492
B.29,-114.0653305053711
B.3,-111.04206848144531
B.31,-112.47671508789062
B.39,-112.15888977050781
B.4,-127.33792877197266
B.40,-111.41520690917969
B.42,-138.09315490722656
B.43,-132.24142456054688
B.52,-110.5448226928711
B.6,-104.97667694091797
B.61,-119.54646301269531
BA.1,-33.62632751464844
BA.1.1,-31.751867294311523
BA.1.1.1,-29.317882537841797
BA.1.1.10,-36.00830078125
BA.1.1.14,-34.07255554199219
