date,country,lineage,count
2020-01-09,Japan,B.1.1.285,1
2020-01-20,Japan,B.12,2
2020-01-23,Japan,B,1
2020-01-25,Japan,B,2
2020-01-28,Japan,B,1
2020-01-29,Japan,A,1
2020-01-29,Japan,B,1
2020-01-31,Japan,A,2
2020-02-01,Japan,A,2
2020-02-05,Japan,B,1
2020-02-05,Japan,B.5,1
2020-02-10,Japan,B,1
2020-02-10,Japan,B.5,1
2020-02-12,Japan,B,1
2020-02-13,Japan,B,1
2020-02-13,Japan,B.5,1
2020-02-14,Japan,B,4
2020-02-15,Japan,A.16,1
2020-02-15,Japan,B,18
2020-02-15,Japan,B.12,2
2020-02-15,Japan,B.5,3
2020-02-16,Japan,B,18
2020-02-16,Japan,B.5,5
2020-02-17,Japan,B,24
2020-02-17,Japan,B.5,7
2020-02-18,Japan,B,1
2020-02-18,Japan,B.12,2
2020-02-19,Japan,B,2
2020-02-19,Japan,B.12,1
2020-02-20,Japan,B,1
2020-02-20,Japan,B.5,1
2020-02-21,Japan,A.16,1
2020-02-21,Japan,B,4
2020-02-21,Japan,B.12,1
2020-02-21,Japan,B.5,1
2020-02-22,Japan,A.16,3
2020-02-22,Japan,B,3
2020-02-22,Japan,B.1.1.214,1
2020-02-22,Japan,B.5,1
2020-02-23,Japan,B,1
2020-02-24,Japan,B,1
2020-02-24,Japan,B.12,1
2020-02-24,Japan,B.5,1
2020-02-25,Japan,A.16,1
2020-02-25,Japan,B,1
2020-02-25,Japan,B.12,4
2020-02-26,Japan,A.16,2
2020-02-26,Japan,B.12,1
2020-02-27,Japan,B,2
2020-02-27,Japan,B.12,3
2020-02-28,Japan,A,1
2020-02-28,Japan,B,1
2020-02-28,Japan,B.12,4
2020-02-29,Japan,A.16,1
2020-02-29,Japan,B,1
2020-02-29,Japan,B.12,3
2020-03-01,Japan,A,5
2020-03-01,Japan,A.16,2
2020-03-01,Japan,B,1
2020-03-01,Japan,B.12,1
2020-03-02,Japan,A,3
2020-03-02,Japan,A.16,3
2020-03-02,Japan,B.1.14,1
2020-03-02,Japan,B.12,3
2020-03-03,Japan,A,2
2020-03-03,Japan,A.16,3
2020-03-03,Japan,B.12,3
2020-03-04,Japan,A,5
2020-03-04,Japan,A.1,1
2020-03-04,Japan,A.16,4
2020-03-04,Japan,B.1.1,1
2020-03-04,Japan,B.12,4
2020-03-04,Japan,B.42,1
2020-03-04,Japan,B.6,1
2020-03-05,Japan,A,6
2020-03-05,Japan,A.16,4
2020-03-05,Japan,B,2
2020-03-05,Japan,B.12,3
2020-03-05,Japan,B.6,1
2020-03-06,Japan,A.16,4
2020-03-06,Japan,B.12,6
2020-03-07,Japan,A,1
2020-03-07,Japan,B.12,6
2020-03-08,Japan,A,5
2020-03-08,Japan,B.1,1
2020-03-08,Japan,B.1.1,1
2020-03-08,Japan,B.12,2
2020-03-09,Japan,A,5
2020-03-09,Japan,A.16,1
2020-03-09,Japan,B.1,7
2020-03-09,Japan,B.12,8
2020-03-10,Japan,A,1
2020-03-10,Japan,B.1,3
2020-03-10,Japan,B.12,4
2020-03-11,Japan,A,8
2020-03-11,Japan,B.1,5
2020-03-11,Japan,B.1.1,1
2020-03-11,Japan,B.12,3
2020-03-12,Japan,A,11
2020-03-12,Japan,B,2
2020-03-12,Japan,B.1,1
2020-03-12,Japan,B.1.1,3
2020-03-12,Japan,B.12,5
2020-03-13,Japan,A,6
2020-03-13,Japan,A.16,2
2020-03-13,Japan,A.2,3
2020-03-13,Japan,B.1,3
2020-03-13,Japan,B.1.1,2
2020-03-13,Japan,B.12,2
2020-03-14,Japan,A,4
2020-03-14,Japan,A.16,1
2020-03-14,Japan,B.1,1
2020-03-14,Japan,B.1.1,1
2020-03-14,Japan,B.1.1.372,1
2020-03-14,Japan,B.12,1
2020-03-14,Japan,B.6,2
2020-03-15,Japan,A,2
2020-03-15,Japan,B.12,1
2020-03-15,Japan,B.6,1
2020-03-16,Japan,A,7
2020-03-16,Japan,A.2,1
2020-03-16,Japan,B.1,6
2020-03-16,Japan,B.1.1,4
2020-03-16,Japan,B.1.1.164,1
2020-03-16,Japan,B.1.1.283,1
2020-03-17,Japan,A,1
2020-03-17,Japan,A.6,2
2020-03-17,Japan,B.1,4
2020-03-17,Japan,B.1.1,2
2020-03-18,Japan,A,4
2020-03-18,Japan,A.16,1
2020-03-18,Japan,B.1,3
