lineage,R
A,-53.960086822509766
A.1,1.1012516021728516
A.2,1.2504842281341553
A.21,-43.94637680053711
A.23.1,-42.830570220947266
A.27,-40.53740310668945
A.29,-39.79104232788086
A.7,-60.12721633911133
A.9,-64.3954086303711
AE.3,-44.30267333984375
AE.4,-44.36526870727539
AY.1,-29.514739990234375
AY.100,-29.42690086364746
AY.102,-28.54912567138672
AY.102 (consensus call),-31.562971115112305
AY.103,-20.005943298339844
AY.104,-21.915992736816406
AY.105,-28.37892723083496
AY.106,-27.372121810913086
AY.107,-28.197959899902344
AY.108,-26.899721145629883
AY.109,-28.896465301513672
AY.110,-28.31477165222168
AY.111,-26.59926414489746
AY.112,-27.401588439941406
AY.112 (consensus call),-27.848176956176758
AY.112.2,-22.921663284301758
AY.113,-27.841032028198242
AY.114,-25.42853355407715
AY.116,-29.961833953857422
AY.117,-21.938920974731445
AY.118,-27.663610458374023
AY.119,-27.61568260192871
AY.119.2,-25.94432830810547
AY.120,-27.87641143798828
AY.120.2,-26.99024200439453
AY.121,-27.051294326782227
AY.122,-30.81309700012207
AY.122 (consensus call),-30.891063690185547
AY.122.6,-19.408920288085938
AY.124,-36.60639572143555
AY.124.1.1,-18.32968521118164
AY.125,-25.089780807495117
AY.126,-26.98284912109375
AY.127,-25.144319534301758
AY.127.1,-1.6117825508117676
AY.129,-31.670888900756836
AY.13,-34.11515426635742
AY.131,-9.591104507446289
AY.14,-24.853883743286133
AY.15,-32.60285949707031
AY.16,-29.860044479370117
AY.20,-27.096355438232422
AY.23,-25.216876983642578
AY.23.1,-23.169206619262695
AY.24,-29.489608764648438
AY.25,-26.222387313842773
AY.25.1,-17.836854934692383
AY.27,-34.21068572998047
AY.28,-22.504697799682617
AY.29,-29.628448486328125
AY.3,-25.221769332885742
AY.30,-36.444969177246094
AY.31,-31.79297637939453
AY.33,-27.99795150756836
AY.34,-26.666152954101562
AY.34.1,-27.255786895751953
AY.36,-28.277782440185547
AY.37,-29.00570297241211
AY.38,-33.541263580322266
AY.39,-27.8966064453125
AY.39 (consensus call),-31.147613525390625
AY.39.1,-26.755718231201172
AY.39.1.1,-29.441822052001953
AY.39.1.4,0.7118676900863647
AY.39.3,-23.033124923706055
AY.4,-25.443483352661133
AY.4 (consensus call),-31.89935302734375
AY.4.2,-17.631755828857422
