lineage,R
A,-183.35850524902344
A.1,1.2530221939086914
A.16,-182.95327758789062
A.2,1.1516972780227661
A.2.5.2,1.2469125986099243
A.25,1.2528890371322632
A.28,1.249804973602295
A.6,1.232979416847229
AM.4,1.2519291639328003
AY.1,-77.03266143798828
AY.100,-45.47853088378906
AY.103,-43.65704345703125
AY.104,-41.63784408569336
AY.106,-42.712345123291016
AY.107,-48.583560943603516
AY.108,-40.8161506652832
AY.110,-51.21531677246094
AY.111,-40.0349006652832
AY.112,-42.917049407958984
AY.112.2,-41.415618896484375
AY.113,-41.37030792236328
AY.116,-61.880126953125
AY.117,-40.89194869995117
AY.118,-51.43839645385742
AY.119,-46.64951705932617
AY.119.1,-34.22279357910156
AY.119.2,1.209408164024353
AY.120,-40.748779296875
AY.121,-44.97149658203125
AY.121.1,-38.42300033569336
AY.122,-48.283721923828125
AY.122 (consensus call),1.2082633972167969
AY.122.1,-66.99067687988281
AY.122.5,-39.199581146240234
AY.122.6,-39.953697204589844
AY.125,-43.33478546142578
AY.126,-48.49921417236328
AY.127,-42.79359436035156
AY.129,-44.87812042236328
AY.13,-45.728271484375
AY.133,-37.664794921875
AY.14,-52.24666976928711
AY.20,-51.60860824584961
AY.23,-67.58848571777344
AY.23.1,-42.56012725830078
AY.24,-70.45455932617188
AY.25,-44.26464080810547
AY.25.1,-44.222862243652344
AY.25.1.2,-39.87178421020508
AY.26,-58.66196823120117
AY.28,-49.5673828125
AY.29,-51.8953857421875
AY.29.1,-50.60792541503906
AY.29.2,-38.045989990234375
AY.3,-43.00822448730469
AY.3.1,-51.1900634765625
AY.30,-47.75144958496094
AY.31,-70.93569946289062
AY.33,-47.59037780761719
AY.34,-58.927040100097656
AY.34.1,-58.179683685302734
AY.34.1.1,-46.62319564819336
AY.36,-47.91868209838867
AY.37,-68.10975646972656
AY.38,-48.015132904052734
AY.39,-44.494606018066406
AY.4,-47.89739227294922
AY.4.2,-41.82991409301758
AY.4.2.1,-38.65924072265625
AY.4.2.3,-38.720115661621094
AY.4.3,1.0848368406295776
AY.4.5,-37.776161193847656
AY.4.6,-54.152862548828125
AY.42,-42.63603210449219
AY.43,-45.59340286254883
AY.43.2,-40.155303955078125
AY.44,-46.01604461669922
AY.45,-51.80086898803711
AY.46,-61.76604080200195
AY.46.2,-42.74894332885742
AY.46.5,-38.215919494628906
AY.46.6,-39.96963119506836
AY.47,-49.99517822265625
AY.48,-63.81731033325195
AY.5,-43.48640441894531
AY.53,1.2375130653381348
AY.54,-47.35839080810547
AY.55,-70.69453430175781
AY.57,-38.59877014160156
AY.59,-46.12000274658203
AY.6,1.229310154914856
AY.60,-58.86688995361328
AY.64,-52.509559631347656
AY.68,-65.69237518310547
AY.69,-38.67020034790039
AY.7.1,-38.815956115722656
AY.7.2,1.2314236164093018
AY.71,1.2474074363708496
AY.74,-56.408145904541016
AY.75,-78.23616027832031
AY.75.2,-58.889652252197266
AY.75.3,-62.61623764038086
AY.76,-55.72686767578125
AY.79,-55.98533248901367
AY.82,1.228844404220581
AY.85,-40.81330490112305
AY.88,1.2375130653381348
AY.9,-54.165748596191406
AY.9.2,-67.8451919555664
AY.94,1.152309536933899
AY.95,-63.81731033325195
AY.98,-48.582244873046875
AY.98.1,-60.263336181640625
AY.99,1.2361526489257812
AY.99.2,-42.655029296875
B,-212.32321166992188
B.1,-135.79908752441406
B.1.1,-137.24771118164062
B.1.1.1,-124.30472564697266
B.1.1.142,1.22189462184906
B.1.1.159,1.2422677278518677
B.1.1.163,1.2498469352722168
B.1.1.164,1.2432621717453003
B.1.1.170,1.2413978576660156
B.1.1.182,1.2526671886444092
B.1.1.186,1.2518101930618286
B.1.1.189,1.2204828262329102
B.1.1.205,1.2527467012405396
B.1.1.207,1.241417407989502
B.1.1.214,-110.0438461303711
B.1.1.216,-113.18844604492188
B.1.1.221,1.2527676820755005
B.1.1.222,1.2246336936950684
B.1.1.225,1.2528955936431885
B.1.1.243,1.2523229122161865
B.1.1.25,-112.02862548828125
B.1.1.263,1.1530011892318726
B.1.1.274,1.2416003942489624
B.1.1.277,1.2524093389511108
B.1.1.28,-115.71147155761719
B.1.1.282,1.2432209253311157
B.1.1.283,-140.6837158203125
B.1.1.284,-117.14517211914062
B.1.1.285,-145.93406677246094
B.1.1.294,1.2522867918014526
B.1.1.302,1.2526865005493164
B.1.1.306,1.2252650260925293
B.1.1.312,1.2524415254592896
B.1.1.316,1.2525124549865723
B.1.1.317,1.1977812051773071
B.1.1.318,-90.4674072265625
B.1.1.322,1.2468281984329224
B.1.1.329,1.252636432647705
B.1.1.33,1.1965563297271729
B.1.1.336,1.250245213508606
B.1.1.337,1.2522698640823364
B.1.1.348,1.23585844039917
B.1.1.349,1.2517799139022827
B.1.1.351,-96.52262878417969
B.1.1.354,1.1859745979309082
B.1.1.362,1.2404327392578125
B.1.1.37,1.2522319555282593
B.1.1.372,1.1631642580032349
B.1.1.396,1.240676760673523
B.1.1.397,-108.81891632080078
B.1.1.398,-112.56472778320312
B.1.1.413,1.2479265928268433
B.1.1.420,1.2238951921463013
B.1.1.432,1.2406367063522339
B.1.1.434,1.252091407775879
B.1.1.46,1.175626516342163
B.1.1.465,-137.18112182617188
B.1.1.48,-139.13783264160156
B.1.1.482,-135.5753631591797
B.1.1.486,1.2366293668746948
B.1.1.517,1.251681923866272
B.1.1.519,1.1972709894180298
B.1.1.521,1.2524679899215698
B.1.1.528,1.2431893348693848
B.1.1.529,69.08154296875
B.1.1.54,1.2527844905853271
B.1.1.63,-119.22662353515625
B.1.1.7,-79.73284149169922
B.1.1.71,1.2432682514190674
B.1.1.89,1.2432612180709839
B.1.108,1.253013014793396
B.1.111,1.2519006729125977
B.1.14,1.2530218362808228
B.1.149,1.2530077695846558
B.1.160,-114.08575439453125
B.1.164,1.2416131496429443
B.1.177,-112.69482421875
B.1.177.57,1.2524093389511108
B.1.177.60,1.2520421743392944
B.1.177.62,1.252360224723816
B.1.177.8,1.2522202730178833
B.1.177.86,1.2519696950912476
B.1.195,1.252989411354065
B.1.2,-108.953369140625
B.1.210,-110.84639739990234
B.1.212,1.2525893449783325
B.1.22,1.253002643585205
B.1.220,1.2530124187469482
B.1.221,1.2521134614944458
B.1.222,1.2521883249282837
B.1.234,-108.0989761352539
B.1.240,1.2419544458389282
B.1.241,1.2395182847976685
B.1.243,-113.49119567871094
B.1.258,1.177518367767334
B.1.258.14,1.2524752616882324
B.1.264,1.2432612180709839
B.1.264.1,1.2524679899215698
B.1.280,1.2521883249282837
B.1.298,-113.70069122314453
B.1.311,1.240358829498291
B.1.332,1.2530081272125244
B.1.346,-103.76614379882812
B.1.349,1.2522594928741455
B.1.351,-90.85199737548828
B.1.351.3,-87.46269226074219
B.1.36,-112.80412292480469
B.1.36.16,1.2519819736480713
B.1.36.19,1.2386655807495117
B.1.36.24,1.25246262550354
B.1.36.29,1.2393347024917603
B.1.36.31,-105.56983184814453
B.1.36.34,1.2516329288482666
B.1.360,1.2432488203048706
B.1.361,1.2521450519561768
B.1.369,1.2305915355682373
B.1.391,1.2530112266540527
B.1.396,1.2521450519561768
B.1.399,1.2391711473464966
B.1.400,1.2290995121002197
B.1.411,-108.18545532226562
B.1.427,1.2402256727218628
B.1.429,-105.79495239257812
B.1.438,1.2526966333389282
B.1.439,1.2530052661895752
B.1.441,1.2526671886444092
B.1.459,-113.79032897949219
B.1.466,-107.08272552490234
B.1.466.2,-99.57302856445312
B.1.468,1.240519404411316
B.1.470,1.2409415245056152
B.1.471,1.2310060262680054
B.1.474,1.251462697982788
B.1.480,1.252706527709961
B.1.482,1.2329678535461426
B.1.497,1.2527778148651123
B.1.499,1.2271337509155273
B.1.517,1.250653624534607
B.1.523,1.2519819736480713
B.1.524,1.2399219274520874
B.1.525,-99.50902557373047
B.1.526,-90.72718048095703
B.1.530,1.2519696950912476
B.1.533,1.2419674396514893
B.1.541,1.2521777153015137
B.1.554,1.2528938055038452
B.1.558,1.2529081106185913
B.1.560,-111.24187469482422
B.1.565,1.2408215999603271
B.1.575,1.2514426708221436
B.1.595,1.2304375171661377
B.1.609,1.252892255783081
B.1.612,1.252750039100647
B.1.617,1.2289304733276367
B.1.617.1,-89.33549499511719
B.1.617.2,-66.96247863769531
B.1.617.3,1.2445496320724487
B.1.619.1,1.2469992637634277
B.1.621,-69.6670150756836
B.1.8,1.2530081272125244
B.1.83,1.2530077695846558
B.1.9.3,1.2525607347488403
B.12,-177.58651733398438
B.3,1.2329652309417725
B.33,1.2432682514190674
B.40,1.2329306602478027
B.42,1.2530221939086914
B.5,-214.77090454101562
B.50,1.252937912940979
B.59,1.2101908922195435
B.6,-134.10533142089844
BA.1,-34.066566467285156
BA.1.1,-22.68021011352539
BA.1.1 (consensus call),-29.7664852142334
BA.1.1.1,-25.589435577392578
BA.1.1.10,-25.78830337524414
BA.1.1.13,-23.200143814086914
BA.1.1.14,-31.752931594848633
BA.1.1.15,-35.90534973144531
BA.1.1.16,-34.86125946044922
BA.1.1.18,-32.44278335571289
BA.1.1.2,-24.015012741088867
BA.1.1.5,-14.484888076782227
BA.1.1.6,-26.83673858642578
BA.1.1.7,-33.18917465209961
BA.1.1.8,-34.240577697753906
BA.1.13,-33.59922409057617
BA.1.13.1,-17.905778884887695
BA.1.14,-31.38912582397461
BA.1.14.1,-22.09364128112793
BA.1.14.2,-26.69593620300293
BA.1.15,-29.753925323486328
BA.1.15.1,-36.626190185546875
BA.1.15.2,-14.80017375946045
BA.1.15.3,-27.765169143676758
BA.1.16,-36.304561614990234
BA.1.16.1,-34.14211654663086
BA.1.16.2,-30.07621955871582
BA.1.17,-33.471683502197266
BA.1.17.1,-26.341886520385742
BA.1.17.2,-31.049903869628906
BA.1.18,-33.98540115356445
BA.1.19,-37.97673416137695
BA.1.20,-32.49135971069336
BA.1.21,-24.367891311645508
BA.1.6,-35.6370964050293
BA.1.9,-33.235050201416016
BA.2,-0.6749714612960815
BA.2.1,-3.80570387840271
BA.2.10,-3.567171096801758
BA.2.10.1,-2.8183064460754395
BA.2.10.2,1.2038148641586304
BA.2.10.3,-0.24156399071216583
BA.2.11,-1.5883142948150635
BA.2.12,5.185776233673096
BA.2.12.1,11.290787696838379
BA.2.12.2,18.032981872558594
BA.2.13,17.170921325683594
BA.2.13.1,21.852649688720703
BA.2.14,-5.125986099243164
BA.2.16,-9.990833282470703
BA.2.17,-6.1858906745910645
BA.2.18,16.083946228027344
BA.2.2,-4.220815181732178
BA.2.2.1,-29.96159553527832
BA.2.20,-3.2743914127349854
BA.2.21,-1.9037383794784546
BA.2.22,-7.021491527557373
BA.2.23,0.10885167121887207
BA.2.23.1,-0.4349325895309448
BA.2.24,2.025789260864258
BA.2.26,-1.2334502935409546
BA.2.27,-11.523323059082031
BA.2.28,-12.714556694030762
BA.2.29,1.0437567234039307
BA.2.29 (consensus call),-2.8003039360046387
BA.2.3,-1.7494457960128784
BA.2.3 (consensus call),-2.673661231994629
BA.2.3.1,-1.5477021932601929
BA.2.3.10,-4.465299129486084
BA.2.3.11,-1.3737592697143555
BA.2.3.12,-5.246212959289551
BA.2.3.13,-0.7888500690460205
BA.2.3.14,-5.11100959777832
BA.2.3.15,-0.015072038397192955
BA.2.3.16,-4.724880695343018
BA.2.3.17,-13.016179084777832
BA.2.3.18,1.353667140007019
BA.2.3.2,-4.286838531494141
BA.2.3.20,44.04702377319336
BA.2.3.4,-8.034317016601562
BA.2.3.6,1.3145936727523804
BA.2.3.7,5.925166606903076
BA.2.3.8,-11.204377174377441
BA.2.3.9,-5.0097575187683105
BA.2.30,-5.786439418792725
BA.2.31,-5.160236835479736
BA.2.31.1,7.263696670532227
BA.2.32,-11.629995346069336
BA.2.33,3.0195679664611816
BA.2.35,0.44019371271133423
BA.2.36,7.246506690979004
BA.2.37,-15.331216812133789
BA.2.38,6.801937580108643
BA.2.38.1,17.11551856994629
BA.2.38.2,6.358791351318359
BA.2.38.3,22.84042739868164
BA.2.38.4,2.732027292251587
BA.2.4,-7.092038631439209
BA.2.40.1,8.749311447143555
BA.2.42,10.52852725982666
BA.2.43,1.6344523429870605
BA.2.44,15.42763900756836
BA.2.47,-6.877099514007568
BA.2.48,1.0016202926635742
BA.2.49,-5.294490337371826
BA.2.5,-11.302791595458984
BA.2.50,-8.495391845703125
BA.2.52,1.8660683631896973
BA.2.53,8.89777946472168
BA.2.54,1.3613234758377075
BA.2.56,11.534286499023438
BA.2.56.1,1.443623423576355
BA.2.57,-9.949657440185547
BA.2.58,-13.179908752441406
BA.2.61,13.924346923828125
BA.2.63,-11.340774536132812
BA.2.64,-12.051542282104492
BA.2.65,3.238252639770508
BA.2.65 (consensus call),3.8664348125457764
BA.2.68,-8.993986129760742
BA.2.7,-1.8692814111709595
BA.2.71,10.441343307495117
BA.2.72,15.79533863067627
BA.2.73,1.268907904624939
