lineage,R
A,-107.40802001953125
A.1,-127.2598876953125
A.11,1.2841790914535522
A.12,1.28378427028656
A.2,-118.5610122680664
A.2.2,1.2804417610168457
A.2.3,-118.5631332397461
A.2.4,1.283694863319397
A.2.5,-57.93161392211914
A.2.5.2,1.2784690856933594
A.21,1.2738958597183228
A.23.1,-75.71404266357422
A.25,1.2712005376815796
A.26,1.2597142457962036
A.27,-66.14168548583984
A.28,1.2350527048110962
A.29,-62.74662780761719
A.3,1.2841821908950806
A.5,-121.63630676269531
AA.1,1.2677592039108276
AA.2,-80.58336639404297
AA.3,-83.91030883789062
AA.4,-76.83911895751953
AA.5,-77.45763397216797
AA.6,-81.5093002319336
AA.7,-77.06597900390625
AA.8,-76.3573989868164
AC.1,-83.15705108642578
AD.2,-96.25157928466797
AE.1,1.2782185077667236
AE.5,1.2841582298278809
AH.3,1.2692073583602905
AK.1,-92.25596618652344
AM.1,1.283616542816162
AM.3,-87.4485855102539
AN.1,1.2840629816055298
AP.1,-88.76383209228516
AS.1,-83.87602996826172
AS.2,-86.1489028930664
AT.1,1.279513955116272
AV.1,-54.9382209777832
AY.1,-45.61375427246094
AY.10,-49.67792510986328
AY.100,-30.59393882751465
AY.101,-33.82973098754883
AY.102,-43.76879119873047
AY.102 (consensus call),1.2821027040481567
AY.103,-30.76769256591797
AY.103.1,-37.60247039794922
AY.104,-27.383756637573242
AY.106,-37.35084915161133
AY.107,-35.29970932006836
AY.108,-32.67420959472656
AY.109,-31.068933486938477
AY.11,-49.78402328491211
AY.110,-33.22413635253906
AY.111,-33.2952880859375
AY.112,-35.718265533447266
AY.112 (consensus call),-6.170500755310059
AY.112.1,-34.61315155029297
AY.112.2,-30.125154495239258
AY.113,-33.20781707763672
AY.114,-39.97859573364258
AY.116,-39.33846664428711
AY.116.1,-33.26444625854492
AY.117,-28.086666107177734
AY.118,-31.065656661987305
AY.119,-31.290512084960938
AY.119.1,-2.718961477279663
AY.119.2,-32.221595764160156
AY.120,-37.3089485168457
AY.120.1,-34.61354064941406
AY.120.2,1.2722891569137573
AY.120.2.1,-42.02104949951172
AY.121,-27.854679107666016
AY.121.1,-19.82257652282715
AY.122,-33.392601013183594
AY.122 (consensus call),-52.7861328125
AY.122.1,-38.791988372802734
AY.122.2,-29.37789535522461
AY.122.4,-30.37172508239746
AY.122.6,-16.095550537109375
AY.123,-22.367149353027344
AY.123.1,-23.282642364501953
AY.124,-34.579200744628906
AY.124.1,-35.45479202270508
AY.124.1.1,-24.393329620361328
AY.125,-32.345191955566406
AY.126,-27.98957633972168
AY.127,-25.46728515625
AY.127.1,-33.40097427368164
AY.128,-26.598403930664062
AY.129,-29.9164981842041
AY.13,-39.68299865722656
AY.131,-11.088050842285156
AY.133,-24.616689682006836
AY.14,-38.20037078857422
AY.16,-41.15167999267578
AY.16.1,-40.051795959472656
AY.17,-46.875545501708984
AY.20,-39.06755447387695
AY.20.1,-24.019628524780273
AY.22,-43.989013671875
AY.23,-35.69130325317383
AY.23.1,-32.23676300048828
AY.23.2,-37.90013122558594
AY.24,-45.530357360839844
AY.25,-30.297487258911133
AY.25.1,-31.00090789794922
AY.25.1.2,-27.790725708007812
AY.25.3,-32.970237731933594
AY.26,-38.65338134765625
AY.27,-36.920082092285156
AY.28,-35.83705520629883
AY.29,-38.89579391479492
AY.29.1,1.2460271120071411
AY.3,-31.893491744995117
AY.3.1,-30.065444946289062
AY.3.3,-18.447731018066406
AY.30,-32.682891845703125
AY.31,1.2761309146881104
AY.32,-40.19142150878906
AY.33,-34.26753234863281
AY.33.2,-26.878746032714844
AY.34,-30.716691970825195
AY.34.1,-25.62708282470703
AY.34.1.1,-40.257652282714844
AY.34.2,-30.65932846069336
AY.35,1.271645188331604
AY.36,-32.25847244262695
AY.36.1,-21.83108901977539
AY.37,-37.98145294189453
AY.38,-42.97811508178711
AY.39,-31.39963150024414
AY.39 (consensus call),-35.933773040771484
AY.39.1,-21.059072494506836
AY.39.1.2,-39.390018463134766
AY.39.2,-25.349897384643555
AY.4,-36.952091217041016
AY.4 (consensus call),-38.74456787109375
AY.4.1,-38.93754959106445
AY.4.10,-22.29544448852539
AY.4.11,-26.358469009399414
AY.4.12,-33.32315444946289
AY.4.13,-21.600236892700195
AY.4.14,1.264578938484192
AY.4.15,-22.456146240234375
AY.4.17,-33.29433059692383
AY.4.2,-29.464221954345703
AY.4.2.1,-26.742387771606445
AY.4.2.2,-25.55840301513672
AY.4.2.3,-24.533451080322266
AY.4.2.4,-12.730712890625
AY.4.2.5,-17.79502296447754
AY.4.3,-35.245269775390625
AY.4.4,-36.03494644165039
AY.4.5,-32.172698974609375
AY.4.6,-36.8873405456543
AY.4.7,-39.998111724853516
AY.4.8,-30.043691635131836
AY.4.9,-30.384315490722656
AY.41,-36.6964225769043
AY.42,-36.25693130493164
AY.43,-31.145397186279297
AY.43 (consensus call),-32.707855224609375
AY.43.2,-16.463167190551758
AY.43.3,-31.332616806030273
AY.43.4,-22.333057403564453
AY.43.5,2.041731595993042
AY.43.6,-20.735570907592773
AY.43.7,-25.85634422302246
AY.43.8,-26.86231803894043
AY.43.9,-24.945642471313477
AY.44,-32.53338623046875
AY.45,-39.453548431396484
AY.46,-36.58054733276367
AY.46.1,1.2089284658432007
